"stockid","stocklong","country","region","lme","area","areaid","species","comm_name","msy_source","msy_code","msy_units","msy","year","bbmsy","uumsy","bbmsy_source","uumsy_source","bbmsy_notes","uumsy_notes","catch_type","catch_units","catch"
"BMACKPJPN","Spotted mackerel Pacific Coast of Japan","Japan","Japan","Kuroshio Current","Pacific Coast of Japan","Japan-FAJ-PJPN","Scomber australasicus","Spotted mackerel","Assessment","MSY-MT","MT",145655.7838,2013,3.36549981484305,0.345953635746386,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",107000
"BMARLINATL","Blue marlin Atlantic Ocean","multinational","Atlantic Ocean","North Atlantic Ocean","Atlantic Ocean","multinational-ICCAT-ATL","Makaira nigricans","Blue marlin","Assessment","MSY-MT","MT",2000,2010,0.55,3.90179367095443,"Assessment","Assessment","TBdivTBmsy-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",3430
"BMARLINIO","Indo Pacific blue marlin Indian Ocean","multinational","Indian Ocean","Indian Ocean","Indian Ocean","multinational-IOTC-IO","Makaira mazara","Indo pacific blue marlin","Assessment","MSY-MT","MT",9524,2011,1.03,1.0053431318761,"Assessment","Assessment","TBdivTBmsy-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",9870
"BMARLINPAC","Blue marlin Pacific Ocean","Multinational","Pacific Ocean","South Pacific Ocean","Pacific Ocean","multinational-ISC-PAC","Makaira nigricans","Blue marlin","Assessment","MSY-MT","MT",19459,2011,1.29,0.72,"Assessment","Assessment","SSBdivSSBmsy-dimensionless","FdivFmsy-dimensionless","TC","MT",17400
"BNSNZ","Bluenose New Zealand","New Zealand","New Zealand","New Zealand Shelf","New Zealand","New Zealand-MFish-NZ","Hyperoglyphe antarctica","Bluenose","Assessment","MSY-MT","MT",1209,2011,0.408073034916234,2.5071312584881,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",2000
"BOCACCBCW","Bocaccio British Columbia Waters","Canada","Canada West Coast","Gulf of Alaska","British Columbia Waters","Canada-DFO-BCW","Sebastes paucispinis","Bocaccio","Estimated from Fox or Schaefer model","MSY-est-MT","MT",701.7519197,2012,0.0718517103000191,2.73689645355504,"Assessment","Uses scaled reference point","TBdivTBmsy-calc-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",138
"BOCACCSPCOAST","Bocaccio Southern Pacific Coast","USA","US West Coast","California Current","Southern Pacific Coast","USA-NMFS-SPCOAST","Sebastes paucispinis","Bocaccio","Assessment","MSY-MT","MT",1347,2012,0.399980815956258,0.21,"Uses model estimated reference point","Assessment","TBdivTBmsy-est-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",188
"BRNROCKPCOAST","Brown rockfish Pacific Coast","USA","US West Coast","California Current","Pacific Coast","USA-NMFS-PCOAST","Sebastes auriculatus","Brown rockfish","Assessment","MSY-MT","MT",149.9,2012,0.961974649766513,0.65631067961165,"Assessment","Assessment","TBdivTBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",94.7
"BRNSHRIMPGM","Brown shrimp Gulf of Mexico","USA","US Southeast and Gulf","Gulf of Mexico","Gulf of Mexico","USA-NMFS-GM","Farfantepenaeus aztecus","Brown shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",49081.75541,2014,12.3964837587052,0.0983552631578948,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",28300
"BSBASSMATLC","Black sea bass Mid-Atlantic Coast","USA","US East Coast","Northeast U.S. Continental Shelf","Mid-Atlantic Coast","USA-NMFS-MATLC","Centropristis striata","Black sea bass","Assessment","MSY-MT","MT",3097,2014,0.773667999536393,0.475365746815441,"Assessment","Assessment","TBdivTBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TL","MT",1139
"BSBASSSATL","Black sea bass South Atlantic","USA","US Southeast and Gulf","Southeast U.S. Continental Shelf","South Atlantic","USA-NMFS-SATL","Centropristis striata","Black sea bass","Assessment","MSY-MT","MT",807.394472,2010,0.76953125,1.03700791279509,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TL","MT",585
"BUTTERGOMCHATT","Atlantic butterfish Gulf of Maine / Cape Hatteras","USA","US East Coast","Northeast U.S. Continental Shelf","Gulf of Maine / Cape Hatteras","USA-NMFS-5YCHATT","Peprilus triacanthus","Atlantic butterfish","Estimated from Fox or Schaefer model","MSY-est-MT","MT",10368.74924,2012,1.7428095405121,0.0246913580246914,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",1710
"BWHITNEA","Blue whiting Northeast Atlantic","multinational","European Union","Norwegian Sea","Northeast Atlantic","multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV","Micromesistius poutassou","Blue whiting","Estimated from Fox or Schaefer model","MSY-est-MT","MT",1616060.277,2014,1.71555555555556,1.196875,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",1150000
"CABEZNCAL","Cabezon Northern California","USA","US West Coast","California Current","Northern California","USA-NMFS-NCAL","Scorpaenichthys marmoratus","Cabezon","Assessment","MSY-MT","MT",129,2008,1.70428015564202,0.222222222222222,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",39
"CABEZORECOAST","Cabezon Oregon Coast","USA","US West Coast","California Current","Oregon Coast","USA-NMFS-ORECOAST","Scorpaenichthys marmoratus","Cabezon","Assessment","MSY-MT","MT",48,2008,2.07339449541284,0.559006211180124,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",43.2
"CABEZSCAL","Cabezon Southern California","USA","US West Coast","California Current","Southern California","USA-NMFS-SCAL","Scorpaenichthys marmoratus","Cabezon","Assessment","MSY-MT","MT",30,2008,2.44776119402985,0.181818181818182,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",10
"CALSCORPSCAL","California scorpionfish Southern California","USA","US West Coast","California Current","Southern California","USA-NMFS-SCAL","Scorpaena guttata","California scorpionfish","Estimated from Fox or Schaefer model","MSY-est-MT","MT",163.7755672,2014,1.85003975292031,0.464,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",124
"CAPEIIa-V-XIV","Capelin ICES 2a-5-14","multinational","Europe non EU","Norwegian Sea","ICES 2a-5-14","multinational-ICES-IIa-V-XIV","Mallotus villosus","Capelin","Estimated from Fox or Schaefer model","MSY-est-MT","MT",801669.9902,2014,NA,0.678449951482625,"Assessment","Uses scaled reference point","SSBdivSSBmgt-calc-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",518000
"CAPENOR","Capelin Barents Sea","multinational","Europe non EU","Barents Sea","Barents Sea","multinational-ICES-I","Mallotus villosus","Capelin","Estimated from Fox or Schaefer model","MSY-est-MT","MT",871678.4653,2014,0.588431378801184,0.128674294177805,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TL","MT",66000
"CHAKESA","Shallow water cape hake South Africa","South Africa","South Africa","Benguela Current","South Africa","South Africa-DETMCM-SA","Merluccius capensis","Shallow water cape hake","Assessment","MSY-MT","MT",62800,2014,2.38,0.14,"Assessment","Assessment","SSBdivSSBmsy-dimensionless","ERdivERmsy-dimensionless","TC","MT",14100
"CHERRCHVX","Chilean herring Central-Southern Chile","Chile","South America","Humboldt Current","Central-Southern Chile","Chile-SUBPESCA-CH-CS","Strangomera bentincki","Chilean herring","Estimated from Fox or Schaefer model","MSY-est-MT","MT",823979.3127,2011,1.49567079734138,0.675915925310291,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TL","MT",833000
"CHILISPCOAST","Chilipepper Southern Pacific Coast","USA","US West Coast","California Current","Southern Pacific Coast","USA-NMFS-SPCOAST","Sebastes goodei","Chilipepper","Assessment","MSY-MT","MT",2133,2014,1.54255319148936,0.1844,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",325
"CHROCKCPCOAST","China rockfish Central Pacific Coast","USA","US West Coast","California Current","Central Pacific Coast","USA-NMFS-CPCOAST","Sebastes nebulosus","China rockfish","Assessment","MSY-MT","MT",15.7,2014,1.52307692307692,0.53,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",7.04
"CHROCKNPCOAST","China rockfish Northern Pacific Coast","USA","US West Coast","California Current","Northern Pacific Coast","USA-NMFS-NPCOAST","Sebastes nebulosus","China rockfish","Estimated from Fox or Schaefer model","MSY-est-MT","MT",4.803567605,2014,1.83401639344262,0.484,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",3.02
"CHROCKSPCOAST","China rockfish Southern Pacific Coast","USA","US West Coast","California Current","Southern Pacific Coast","USA-NMFS-SPCOAST","Sebastes nebulosus","China rockfish","Assessment","MSY-MT","MT",21.1,2014,0.672932330827068,1.044,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",12.4
"CHSQUIDSA","Cape Hope squid South Africa","South Africa","South Africa","Benguela Current","South Africa","South Africa-DETMCM-SA","Loligo reynaudii","Cape hope squid","Estimated from Fox or Schaefer model","MSY-est-MT","MT",6785.170679,2012,0.704192474088829,1.3978249404502,"Assessment","Uses scaled reference point","TBdivTBmsy-calc-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",6690
"CHTRACCH","Chilean jack mackerel Chilean EEZ and offshore","multinational","South America","Humboldt Current","Chilean EEZ and offshore","multinational-SPRFMO-CH","Trachurus murphyi","Chilean jack mackerel","Estimated from Fox or Schaefer model","MSY-est-MT","MT",1924146.202,2014,0.179423838437388,1.18758757605482,"Uses model estimated reference point","Uses scaled reference point","SSBdivSSBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",410000
"CMACKPCOAST","Pacific chub mackerel Pacific Coast","USA","US West Coast","California Current","Pacific Coast","USA-NMFS-PCOAST","Scomber japonicus","Pacific chub mackerel","Estimated from Fox or Schaefer model","MSY-est-MT","MT",12619.11611,2008,0.679977443055976,0.390288862952376,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",5350
"CMACKPJPN","Chub mackerel Pacific Coast of Japan","Japan","Japan","Kuroshio Current","Pacific Coast of Japan","Japan-FAJ-PJPN","Scomber japonicus","Chub mackerel","Assessment","MSY-MT","MT",355290.851,2013,0.508085072878837,0.945992432060544,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",220000
"CMACKTSST","Chub mackerel Tsushima Strait","Japan","Japan","East China Sea","Tsushima Strait","Japan-FAJ-TSST","Scomber japonicus","Chub mackerel","Assessment","MSY-MT","MT",325542.1507,2013,0.450378848089864,1.07786440852997,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",167000
"COBGM","Cobia Gulf of Mexico","USA","US Southeast and Gulf","Gulf of Mexico","Gulf of Mexico","USA-NMFS-GM","Rachycentron canadum","Cobia","Assessment","MSY-MT","MT",1208,2011,1.07021791767554,1.78835978835979,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",866
"COBSATLC","Cobia Southern Atlantic coast","USA","US Southeast and Gulf","Southeast U.S. Continental Shelf","Southern Atlantic coast","USA-NMFS-SATLC","Rachycentron canadum","Cobia","Assessment","MSY-MT","MT",366.502336,2011,1.29183587928465,0.422993492407809,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TL","MT",15.4
"COD2J3KL","Atlantic cod Southern Labrador-Eastern Newfoundland","Canada","Canada East Coast","Labrador - Newfoundland","Southern Labrador-Eastern Newfoundland","Canada-DFO-2J3KL","Gadus morhua","Atlantic cod","Converted from other assessment values (ie Bmsy from B0)","MSY-conv-MT","MT",159440.2549,2007,0.0494,0.241,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",2656.6265
"COD3M","Atlantic cod Flemish Cap","multinational","Canada East Coast","Labrador - Newfoundland","Flemish Cap","multinational-NAFO-3M","Gadus morhua","Atlantic cod","Estimated from Fox or Schaefer model","MSY-est-MT","MT",23378.3564,2011,0.856497401699767,0.693025642477351,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",13900
"COD3NO","Atlantic cod Southern Grand Banks","multinational","Canada East Coast","Labrador - Newfoundland","Southern Grand Banks","multinational-NAFO-3NO","Gadus morhua","Atlantic cod","Estimated from Fox or Schaefer model","MSY-est-MT","MT",28973.38497,2011,0.13478268956604,0.209356418248825,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",819
"COD3Pn4RS","Atlantic cod Northern Gulf of St. Lawrence","Canada","Canada East Coast","Labrador - Newfoundland","Northern Gulf of St. Lawrence","Canada-DFO-3Pn4RS","Gadus morhua","Atlantic cod","Estimated from Fox or Schaefer model","MSY-est-MT","MT",96606.69534,2014,0.0447224514096673,0.515219548666203,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TL","MT",1240
"COD3Ps","Atlantic cod St. Pierre Bank","Canada","Canada East Coast","Labrador - Newfoundland","St. Pierre Bank","Canada-DFO-3Ps","Gadus morhua","Atlantic cod","Estimated from Fox or Schaefer model","MSY-est-MT","MT",33890.47143,2014,1.6,0.230536965709939,"Assessment","Uses scaled reference point","SSBdivSSBmgt-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",4190
"COD4TVn","Atlantic cod Southern Gulf of St. Lawrence","Canada","Canada East Coast","Scotian Shelf","Southern Gulf of St. Lawrence","Canada-DFO-4T","Gadus morhua","Atlantic cod","Estimated from Fox or Schaefer model","MSY-est-MT","MT",62862.61967,2014,0.0425061001992109,0.0426639551707055,"Uses model estimated reference point","Uses scaled reference point","SSBdivSSBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TL","MT",114
"COD4VsW","Atlantic cod Eastern Scotian Shelf","Canada","Canada East Coast","Scotian Shelf","Eastern Scotian Shelf","Canada-DFO-4VsW","Gadus morhua","Atlantic cod","Estimated from Fox or Schaefer model","MSY-est-MT","MT",45295.28305,2002,0.0621408540376934,0.0235263839111264,"Uses model estimated reference point","Uses scaled reference point","SSBdivSSBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",83
"COD5Zjm","Atlantic cod NAFO 5Zjm","multinational","Canada East Coast","Northeast U.S. Continental Shelf","NAFO 5Zjm","multinational-TRAC-5Zjm","Gadus morhua","Atlantic cod","Estimated from Fox or Schaefer model","MSY-est-MT","MT",5965.814161,2014,NA,0.363636363636364,"Uses model estimated reference point","Assessment","SSBdivSSBmsy-est-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",574
"CODBA2224","Atlantic cod Western Baltic","multinational","European Union","Baltic Sea","Western Baltic","multinational-ICES-22-24","Gadus morhua","Atlantic cod","Assessment","MSY-MT","MT",23000,2014,0.390625,3.68846153846154,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",11500
"CODBA2532","Atlantic cod Eastern Baltic","multinational","European Union","Baltic Sea","Eastern Baltic","multinational-ICES-25-32","Gadus morhua","Atlantic cod","Estimated from Fox or Schaefer model","MSY-est-MT","MT",323632.1781,2012,1.74603174603175,1.24333333333333,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmgt-calc-dimensionless","TC","MT",67000
"CODFAPL","Atlantic cod Faroe Plateau","multinational","Europe non EU","Faroe Plateau","Faroe Plateau","multinational-ICES-Vb1","Gadus morhua","Atlantic cod","Estimated from Fox or Schaefer model","MSY-est-MT","MT",26003.89106,2014,0.602203517415999,1.78260869565217,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",5710
"CODGB","Atlantic cod Georges Bank","USA","US East Coast","Northeast U.S. Continental Shelf","Georges Bank","USA-NMFS-5Z","Gadus morhua","Atlantic cod","Assessment","MSY-MT","MT",28774,2011,0.119012517758061,1.28333333333333,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",4530
"CODGOM","Atlantic cod Gulf of Maine","USA","US East Coast","Northeast U.S. Continental Shelf","Gulf of Maine","USA-NMFS-5Y","Gadus morhua","Atlantic cod","Assessment","MSY-MT","MT",10043,2014,0.0430180370903548,4.98395721925134,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmgt-calc-dimensionless","TC","MT",1470
"CODICE","Atlantic cod Iceland Grounds","multinational","Europe non EU","Iceland Shelf and Sea","Iceland Grounds","multinational-ICES-Va","Gadus morhua","Atlantic cod","Estimated from Fox or Schaefer model","MSY-est-MT","MT",359257.5073,2013,2.02272727272727,1.5,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmgt-calc-dimensionless","TC","MT",224000
"CODIIIaW-IV-VIId","Atlantic cod ICES 3a(west)-4-7d","multinational","European Union","North Sea","ICES 3a(west)-4-7d","multinational-ICES-IIIaW-IV-VIId","Gadus morhua","Atlantic cod","Estimated from Fox or Schaefer model","MSY-est-MT","MT",267310.2562,2014,0.706666666666667,1.41935483870968,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",45900
"CODIS","Atlantic cod Irish Sea","multinational","European Union","Celtic-Biscay Shelf","Irish Sea","multinational-ICES-VIIa","Gadus morhua","Atlantic cod","Estimated from Fox or Schaefer model","MSY-est-MT","MT",4091.096717,2014,0.456128133704735,0.378640776699029,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",397
